no_can;chapitre;designation
584 223 374;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC, mesure de qualité et documentation comprises, longueur de ligne plus de 50 à 75m
584 223 375;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A pour CUC, mesure de qualité et documentation comprises, longueur de ligne plus de 75 à 90m
584 223 471;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A IPX1 pour CUC, mesure de qualité et documentation comprises, longueur de ligne jusqu'à 10m
584 223 472;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A IPX1 pour CUC, mesure de qualité et documentation comprises, longueur de ligne plus de 10 à 25m
584 223 473;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A IPX1 pour CUC, mesure de qualité et documentation comprises, longueur de ligne plus de 25 à 50m
584 223 474;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A IPX1 pour CUC, mesure de qualité et documentation comprises, longueur de ligne plus de 50 à 75m
584 223 475;584;Ligne blindée classe EA (câble Cat 7A) avec prise Cat 6A IPX1 pour CUC, mesure de qualité et documentation comprises, longueur de ligne plus de 75 à 90m
584 224 112;584;Ligne alimentation FO
584 231 115;584;Installation pour technique de
584 232 116;584;Conduite 2x pour technique de
584 233 122;584;Ligne prise (Link FO)
584 412 111;584;Ligne alimentation R/TV
584 413 101;584;Ligne R/TV avec prise,
584 414 111;584;Inst dans point étoile R/TV
584 911 422;584;Ligne alimentation courant
584 931 123;584;Ligne courant faible pour app,
584 932 123;584;Ligne courant faible pour app
584 932 133;584;Ligne courant faible pour app
584 933 123;584;Ligne courant faible pour app
584 933 413;584;Ligne courant faible pour app
584 934 123;584;Ligne courant faible pour app
584 934 133;584;Ligne courant faible pour app
584 934 413;584;Ligne courant faible pour app
584 934 513;584;Ligne courant faible pour app
584 935 133;584;Ligne courant faible avec
584 935 413;584;Ligne courant faible avec
585 421 111;585;Ligne avec boîte de dérivation, 3x1,5, jusqu'à 5 m
585 421 112;585;Ligne avec boîte de dérivation, 3x1,5, plus de 5 à 10 m
585 421 113;585;Ligne avec boîte de dérivation, 3x1,5, plus de 10 à 15 m
585 421 121;585;Ligne avec boîte de dérivation
585 421 122;585;Ligne avec boîte de dérivation
585 421 123;585;Ligne avec boîte de dérivation, 5x1,5, plus de 10 à 15 m
585 421 511;585;Ligne avec boîte de dérivation
585 421 512;585;Ligne avec boîte de dérivation
585 421 513;585;Ligne avec boîte de dérivation, bus, plus de 10 à 15 m
585 422 123;585;Ligne jusqu'à 5x2,5 mm² avec regard de passage extérieur lxlxp jusqu'à 300x300x300mm et boîte de dérivation IPX7, partie extérieure dans tranchée existante, parafoudre type 1 quatre pôles pour rail DIN compris, longueur de ligne jusqu'à 15m
585 422 125;585;Ligne jusqu'à 5x2,5 mm² avec regard de passage extérieur lxlxp jusqu'à 300x300x300mm et boîte de dérivation IPX7, partie extérieure dans tranchée existante, parafoudre type 1 quatre pôles pour rail DIN compris, longueur de ligne plus de 15 à 25m
585 422 127;585;Ligne jusqu'à 5x2,5 mm² avec regard de passage extérieur lxlxp jusqu'à 300x300x300mm et boîte de dérivation IPX7, partie extérieure dans tranchée existante, parafoudre type 1 quatre pôles pour rail DIN compris, longueur de ligne plus de 25 à 35m
585 611 111;585;Ligne avec interrupteur
585 611 116;585;Ligne avec double interrupteur lumineux pour lumière et ventilateur 230V
585 612 112;585;Ligne avec interrupteur + prise
585 612 116;585;Ligne avec double interrupteur lumineux pour lumière et ventilateur, et prise 230V
585 612 412;585;Ligne pour point de commande + prise
585 613 111;585;Ligne avec prise simple
585 613 112;585;Ligne avec prise multiple
585 613 411;585;Ligne pour prise
585 614 111;585;Ligne pour luminaire (point lumineux)
585 614 151;585;Ligne pour bande lumineuse jusqu'à 5m (M+R) avec boîte de passage disposant d'un compartiment pour transfo et agrégat (M+R), Mise en service non comprise à appliquer: 502111
585 614 311;585;Ligne pour luminaire extérieur (Racc) (luminaire de chemin, de jardin ou borne), dans tranchée existante, longueur de ligne jusqu'à 5m, Mise en service non comprise à appliquer: 502111
585 614 312;585;Ligne pour luminaire extérieur (Racc) (luminaire de chemin, de jardin ou borne), dans tranchée existante, longueur de ligne plus de 5 à 10m, Mise en service non comprise à appliquer: 502111
