fnr;e_no;designation;code_couleur;ean;article_suivi_snapfix
87066.KS.FMI.K.61.84;755185004;Combinaison lum. ENC 6/1L+T13 blanc, contrôle, EDIZIOdue, LED vert;61;7613175110912;
87066.KS.FMI.K.L.35.34;755188010;Combinaison lum. ENC 6/1L+T13 EDIZIOdue crema, lentille LED jaune;35;7613175111704;
87066.KS.FMI.K.L.60.34;755188950;Combinaison lum. ENC 6/1L+T13 EDIZIOdue noir, lentille LED jaune;60;7613175112336;
87066.KS.FMI.K.L.61.34;755188000;Combinaison lum. ENC 6/1L+T13 EDIZIOdue blanc, lentille LED jaune;61;7613175112343;
87066.KS.FMI.K.L.65.34;755188030;Combinaison lum. ENC 6/1L+T13 EDIZIOdue gris clair, lentille LED jaune;65;7613175112350;
87066.KS.FMI.K.L.67.34;755188040;Combinaison lum. ENC 6/1L+T13 EDIZIOdue gris foncé, lentille LED jaune;67;7613175112367;
87066.KS.FMI.L.35.34;755168010;Combinaison lum. ENC 6/1L+T13 EDIZIOdue crema, lentille LED jaune;35;7613175112404;
87066.KS.FMI.L.60.34;755168950;Combinaison lum. ENC 6/1L+T13 EDIZIOdue noir, lentille LED jaune;60;7613175112473;
87066.KS.FMI.L.61.34;755168000;Combinaison lum. ENC 6/1L+T13 EDIZIOdue blanc, lentille LED jaune;61;7613175112480;
87066.KS.FMI.L.65.34;755168030;Combinaison lum. ENC 6/1L+T13 EDIZIOdue gris clair, lentille LED jaune;65;7613175112497;
87066.KS.FMI.L.67.34;755168040;Combinaison lum. ENC 6/1L+T13 EDIZIOdue gris foncé, lentille LED jaune;67;7613175112503;
87066.LS.F.61.14;755666001;Combinaison lum.6/1L+T13 blanc orientation EDIZIOdue, LED blanc;61;7613175115382;
87066.LS.F.61.34;755666002;Combinaison lum.6/1L+T13 blanc orientation EDIZIOdue, LED jaune;61;7613175115399;
87066.LS.F.61.44;755666003;Combinaison lum.6/1L+T13 blanc orientation EDIZIOdue, LED rouge;61;7613175115405;
87066.LS.F.61.74;755666000;Combinaison lum.6/1L+T13 blanc orientation EDIZIOdue, LED bleu;61;7613175115412;
87066.LS.F.61.84;755666004;Combinaison lum.6/1L+T13 blanc orientation EDIZIOdue, LED vert;61;7613175115429;
87066.LS.F.K.61.14;755686001;Combinaison lum.6/1L+T13 blanc orientation EDIZIOdue, LED blanc;61;7613175119427;
87066.LS.F.K.61.34;755686002;Combinaison lum.6/1L+T13 blanc orientation EDIZIOdue, LED jaune;61;7613175119434;
87066.LS.F.K.61.44;755686003;Combinaison lum.6/1L+T13 blanc orientation EDIZIOdue, LED rouge;61;7613175119441;
87066.LS.F.K.61.74;755686000;Combinaison lum.6/1L+T13 blanc orientation EDIZIOdue, LED bleu;61;7613175119458;
87066.LS.F.K.61.84;755686004;Combinaison lum.6/1L+T13 blanc orientation EDIZIOdue, LED vert;61;7613175119465;
87066.LS.F.K.L.35.34;755690010;Combinaison lum.6/1L+T13 EDIZIOdue crema, lentille LED jaune;35;7613175120607;
87066.LS.F.K.L.60.34;755690950;Combinaison lum.6/1L+T13 EDIZIOdue noir, lentille LED jaune;60;7613175120676;
87066.LS.F.K.L.61.34;755690000;Combinaison lum.6/1L+T13 EDIZIOdue blanc, lentille LED jaune;61;7613175120683;
87066.LS.F.K.L.65.34;755690030;Combinaison lum.6/1L+T13 EDIZIOdue gris clair, lentille LED jaune;65;7613175120690;
87066.LS.F.K.L.67.34;755690040;Combinaison lum.6/1L+T13 EDIZIOdue gris foncé, lentille LED jaune;67;7613175120706;
87066.LS.F.L.35.34;755670010;Combinaison lum.6/1L+T13 EDIZIOdue crema, lentille LED jaune;35;7613175120744;
87066.LS.F.L.60.34;755670950;Combinaison lum.6/1L+T13 EDIZIOdue noir, lentille LED jaune;60;7613175121130;
87066.LS.F.L.61.34;755670000;Combinaison lum.6/1L+T13 EDIZIOdue blanc, lentille LED jaune;61;7613175121147;
87066.LS.F.L.65.34;755670030;Combinaison lum.6/1L+T13 EDIZIOdue gris clair, lentille LED jaune;65;7613175121154;
87066.LS.F.L.67.34;755670040;Combinaison lum.6/1L+T13 EDIZIOdue gris foncé, lentille LED jaune;67;7613175121161;
87066.LS.FMI.61.14;755166001;Combinaison lum. ENC 6/1L+T13 blanc orientation EDIZIOdue, LED blanc;61;7613175122069;
87066.LS.FMI.61.34;755166002;Combinaison lum. ENC 6/1L+T13 blanc orientation EDIZIOdue, LED jaune;61;7613175122076;
87066.LS.FMI.61.44;755166003;Combinaison lum. ENC 6/1L+T13 blanc orientation EDIZIOdue, LED rouge;61;7613175122083;
87066.LS.FMI.61.74;755166000;Combinaison lum. ENC 6/1L+T13 blanc orientation EDIZIOdue, LED bleu;61;7613175122090;
87066.LS.FMI.61.84;755166004;Combinaison lum. ENC 6/1L+T13 blanc orientation EDIZIOdue, LED vert;61;7613175122236;
87066.LS.FMI.K.61.14;755186001;Combinaison lum. ENC 6/1L+T13 blanc orientation EDIZIOdue, LED blanc;61;7613175121000;
87066.LS.FMI.K.61.34;755186002;Combinaison lum. ENC 6/1L+T13 blanc orientation EDIZIOdue, LED jaune;61;7613175121017;
87066.LS.FMI.K.61.44;755186003;Combinaison lum. ENC 6/1L+T13 blanc orientation EDIZIOdue, LED rouge;61;7613175121024;
